date_time,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:47:56,48,0,0,0,0,0,0
2020-10-0610:47:57,48,0,0,0,0,0,0
2020-10-0610:47:57,48,0,0,0,0,0,0
2020-10-0610:47:57,48,0,0,0,0,0,0
2020-10-0610:47:58,48,0,0,0,0,0,0
2020-10-0610:47:58,48,0,0,0,0,0,0
2020-10-0610:47:58,48,0,0,0,0,0,0
2020-10-0610:47:59,48,0,0,0.5232,0,0,0
2020-10-0610:47:59,,0,0,0,0,0,0
2020-10-0610:47:59,,0,0,0,0,0,0
2020-10-0610:48:00,,0,0,0,0,0,0
2020-10-0610:48:00,,0,0,0.1544,0,0,0
2020-10-0610:48:00,,0,0,0.1535,0,0,0
2020-10-0610:48:01,,0,0,0.1424,0,0,0
2020-10-0610:48:01,,0,0,0.0768,0,0,0
2020-10-0610:48:01,,0,0,0.0673,0,0,0
2020-10-0610:48:02,,0,0,0.0396,0,0,0
2020-10-0610:48:02,,0,0,0,0,0,0
2020-10-0610:48:02,,0,0,0,0,0,0
2020-10-0610:48:03,,0,0,0,0,0,0
2020-10-0610:48:03,,0,0,0.4221,0,0,0
2020-10-0610:48:03,,0,0,0.4231,0,0,0
2020-10-0610:48:04,43,0,0,0.4231,0,0,0
2020-10-0610:48:04,,0,0,0.0425,0,0,0
2020-10-0610:48:04,4,0,0,0.0425,0,0,0
2020-10-0610:48:05,4,0,0,0,0,0,0
2020-10-0610:48:05,,0,0,0.4786,0,0,0
2020-10-0610:48:05,,0,0,0.5043,0,0,0
2020-10-0610:48:06,,0,0,0.3196,0,0,0
2020-10-0610:48:06,4,0,0,0,0,0,0
2020-10-0610:48:06,,0,0,0,0,0,0
2020-10-0610:48:07,,0,0,1.5519,0,0,0
2020-10-0610:48:07,45,0,0,2.3852,0,0,0
2020-10-0610:48:07,45,0,0,1.6728,0,0,0
2020-10-0610:48:08,46,0,0,1.3747,0,0,0
2020-10-0610:48:08,46,0,0,1.9904,0,0,0
2020-10-0610:48:08,,0,0,2.2089,0,0,0
2020-10-0610:48:09,4,0,0,2.2313,0,0,0
2020-10-0610:48:09,,0,0,3.6525,0,0,0
2020-10-0610:48:09,48,0,0,3.4243,0,0,0
2020-10-0610:48:10,,0,0,3.3953,0,0,0
2020-10-0610:48:10,18,0,0,3.5638,0,0,0
2020-10-0610:48:10,,0,0,3.5941,0,0,0
