date,time,speed,ldws,lkas
2020-10-23,15:24:35,54,0,0
2020-10-23,15:24:36,49,0,0
2020-10-23,15:24:37,47,0,0
2020-10-23,15:24:38,46,0,0
2020-10-23,15:24:39,48,0,0
2020-10-23,15:24:40,50,0,0
2020-10-23,15:24:41,51,0,0
2020-10-23,15:24:42,51,0,0
2020-10-23,15:24:43,52,0,0
2020-10-23,15:24:44,53,0,0
2020-10-23,15:24:45,54,0,0
2020-10-23,15:24:46,53,0,0
2020-10-23,15:24:47,51,0,0
2020-10-23,15:24:48,48,0,1
2020-10-23,15:24:49,47,0,1
2020-10-23,15:24:50,47,0,1
2020-10-23,15:24:51,48,0,1
2020-10-23,15:24:52,48,0,1
2020-10-23,15:24:53,48,0,1
2020-10-23,15:24:54,48,0,1
2020-10-23,15:24:55,48,0,1
2020-10-23,15:24:56,48,0,1
2020-10-23,15:24:57,48,0,1
